,Links,job description
131,https://www.naukri.com/job-listings-Analyst-Consultant-Manager-General-Business-Consulting-Retail-SilverPeople-Chennai-7-to-12-years-050318003227?src=jobsearchDesk&sid=15208652288458&xp=32&px=1,"['business development', 'business strategy', 'project management', 'business consulting', 'solution development', 'quantitative analysis', 'Consulting']"
132,https://www.naukri.com/job-listings-Analyst-consultant-manager-General-Business-Consulting-Retail-SilverPeople-Chennai-1-to-6-years-050318003206?src=jobsearchDesk&sid=15208652288458&xp=33&px=1,"['business development', 'business strategy', 'project management', 'business consulting', 'solution development', 'quantitative analysis', 'Consulting']"
133,https://www.naukri.com/job-listings-Business-Development-Manager-TeamLease-Services-Limited-Chennai-6-to-8-years-070218006335?src=jobsearchDesk&sid=15208652288458&xp=34&px=1,"['business development management', 'team management', 'account management']"
134,https://www.naukri.com/job-listings-Manager-Business-Development-Chennai-6-to-11-years-050318902043?src=jobsearchDesk&sid=15208652288458&xp=35&px=1,"['sales operations', 'marketing initiatives', 'business development management', 'key accounts', 'field marketing', 'business development manager']"
135,https://www.naukri.com/job-listings-Business-Development-Manager-Apogee-Services-Private-Limited-Chennai-5-to-10-years-090318002588?src=jobsearchDesk&sid=15208652288458&xp=36&px=1,"['Business Development Management', 'Government Sales']"
136,https://www.naukri.com/job-listings-Manager-Business-Development-Digital-Copier-document-Scanner-Chennai-5-to-8-years-060318900824?src=jobsearchDesk&sid=15208652288458&xp=37&px=1,"['Channel Sales', 'Business Development Management', 'Revenue Generation', 'Channel Partners', 'Government Business', 'Bidding', 'Relationship Building', 'Order Processing', 'Business Development  Manager']"
137,https://www.naukri.com/job-listings-Senior-Manager-Manager-Business-Development-Experiential-Mumbai-Chennai-3-to-4-years-060318900188?src=jobsearchDesk&sid=15208652288458&xp=38&px=1,"['business development management', 'corporate sales', 'brand management', 'corporate strategy', 'business generation', 'public relations']"
138,https://www.naukri.com/job-listings-Manager-Business-Development-Recruitment-Services-Mumbai-Hyderabad-Chennai-1-to-5-years-050318900294?src=jobsearchDesk&sid=15208652288458&xp=39&px=1,"['Manager - Business Development', 'Business Development', 'Sales', 'Lead generation']"
139,https://www.naukri.com/job-listings-Business-Development-Manager-Based-at-Chennai-Evershine-Resource-Management-Private-Limited-Chennai-3-to-8-years-070318003765?src=jobsearchDesk&sid=15208652288458&xp=40&px=1,"['business development management', 'new business', 'export import', 'business generation', 'air freight']"
140,https://www.naukri.com/job-listings-Manager-Business-Analysis-Chennai-5-to-10-years-070318901337?src=jobsearchDesk&sid=15208652288458&xp=41&px=1,"['Business Analysis', 'Basel', 'Data Quality']"
