,Links,job description
1243,https://www.naukri.com/job-listings-Looking-to-hire-Data-Scientist-Lead-NLP-text-Mining-in-ML-Pramata-Knowledge-Solutions-Private-Limited-Bengaluru-Adugodi-5-to-10-years-090218000977?src=jobsearchDesk&sid=15208353173842&xp=44&px=1,"['text mining', 'data science', 'nlp', 'python', 'machine learning']"
1244,https://www.naukri.com/job-listings-Machine-Learning-Engineer-Data-Scientist-Idexcel-Technologies-Private-Limited-Bengaluru-Hyderabad-Pune-5-to-10-years-240118007879?src=jobsearchDesk&sid=15208353173842&xp=45&px=1,"['Machine Learning', 'Artificial Intelligence', 'NLP', 'MATLAB', 'Python', 'Java', 'machine learning', 'artificial intelligence', 'pattern recognition', 'clustering', 'ARIMA', 'Spark']"
1245,https://www.naukri.com/job-listings-Data-Scientist-Datacogin-Startup-Bengaluru-2-to-4-years-220218901895?src=jobsearchDesk&sid=15208353173842&xp=46&px=1,"['Machine Learning', 'Power User', 'Python', 'PHP', 'Data Mining', 'Artificial Intelligence', 'Pattern Recognition', 'Programming', 'Hadoop']"
1246,https://www.naukri.com/job-listings-Data-Scientist-HireHappi-Delhi-NCR-Bengaluru-1-to-4-years-220218000122?src=jobsearchDesk&sid=15208353173842&xp=47&px=1,"['r', 'python', 'modelling', 'modeling', 'Visualization', 'Dashboards', 'Tableau', 'Qlikview']"
1247,https://www.naukri.com/job-listings-RPA-Data-Scientist-Machine-Learning-Specialists-Premier-Institute-KPMG-Bengaluru-5-to-8-years-210218901365?src=jobsearchDesk&sid=15208353173842&xp=48&px=1,[]
1248,https://www.naukri.com/job-listings-Data-Scientist-I-Mind-Your-Business-Bengaluru-2-to-5-years-190218000797?src=jobsearchDesk&sid=15208353173842&xp=49&px=1,"['Data Science', 'NoSQL', 'Information Retrieval', 'Machine Learning', 'Python', 'SQL', 'Hadoop', 'R', 'MongoDB', 'Statistics', 'Pandas']"
1249,https://www.naukri.com/job-listings-Data-Scientist-Dunzo-Startup-Bengaluru-5-to-10-years-150218900369?src=jobsearchDesk&sid=15208353173842&xp=50&px=1,"['Data Science', 'Web Technologies', 'Machine Learning', 'Matlab', 'problem solving']"
1250,https://www.naukri.com/job-listings-Senior-Data-Scientist-SPIN-STRATEGY-AND-ANALYTICS-LLC-Hyderabad-Jubilee-Hills-3-to-5-years-050218003626?src=jobsearchDesk&sid=15208353191375&xp=1&px=1,"['Python', 'Java', 'Predictive Analytics', 'Data Structures', 'R', 'Algorithms', 'Machine Learning', 'SQL', 'Data Science', 'C++']"
1251,https://www.naukri.com/job-listings-Data-Scientist-Cloud-aws-Anantha-Hyderabad-10-to-15-years-010318900436?src=jobsearchDesk&sid=15208353191375&xp=2&px=1,"['Big Data', 'ETL', 'Data Science', 'Redis', 'Data Integration', 'Informatica', 'Hadoop', 'Python', 'AWS', 'Data Structures', 'Data Analyst']"
1252,https://www.naukri.com/job-listings-Data-Scientist-Deep-Learning-with-Python-Rorodata-Startup-Hyderabad-3-to-8-years-070318900235?src=jobsearchDesk&sid=15208353191375&xp=3&px=1,"['Python', 'machine learning']"
1253,https://www.naukri.com/job-listings-Tech-Mahindra-is-Hiring-Data-Scientist-with-BI-Business-Analyst-Exp-Tech-Mahindra-Business-Services-Limited-Hyderabad-Noida-8-to-13-years-160218002478?src=jobsearchDesk&sid=15208353191375&xp=4&px=1,"['Project Life Cycle', 'Business Analysis', 'Requirement Analysis', 'Project Management', 'Technology Consulting', 'Management Consulting', 'SQL', 'Analytics', 'Strategy', 'Bfsi']"
1254,https://www.naukri.com/job-listings-Senior-Data-Scientist-DATAFACTZ-SOLUTION-PVT-LTD-Hyderabad-Gachibowli-3-to-8-years-050318001992?src=jobsearchDesk&sid=15208353191375&xp=5&px=1,"['Deep Learning', 'Logistic Regression', 'Data Science', 'Neural Networks', 'R', 'SAS', 'Machine Learning', 'Data Analysis', 'Python', 'Statistics']"
1255,https://www.naukri.com/job-listings-Data-Scientist-E-I-DuPont-India-Private-Limited-Hyderabad-3-to-6-years-230218900895?src=jobsearchDesk&sid=15208353191375&xp=6&px=1,[]
1256,https://www.naukri.com/job-listings-Data-Scientist-Cambridge-Technology-Enterprises-Limited-Hyderabad-3-to-6-years-070318902109?src=jobsearchDesk&sid=15208353191375&xp=7&px=1,[]
1257,https://www.naukri.com/job-listings-Data-Science-Engineer-iit-nit-AlgonoX-Technologies-Hyderabad-Bengaluru-1-to-3-years-180118900857?src=jobsearchDesk&sid=15208353191375&xp=8&px=1,"['nlp', 'machine learning', 'java', 'python', 'data science', 'algorithms', 'node.js']"
1258,https://www.naukri.com/job-listings-Senior-Engineer-II-Data-Scientist-machine-Learning-Invesco-India-Pvt-Ltd-Hyderabad-8-to-12-years-080318901094?src=jobsearchDesk&sid=15208353191375&xp=9&px=1,[]
1259,https://www.naukri.com/job-listings-Data-Scientist-GSPANN-Technologies-Hyderabad-1-to-5-years-151217004218?src=jobsearchDesk&sid=15208353191375&xp=10&px=1,[]
1260,https://www.naukri.com/job-listings-Data-Scientist-Startup-GrabOn-Hyderabad-3-to-5-years-200218900004?src=jobsearchDesk&sid=15208353191375&xp=11&px=1,"['Data Mining', 'Quantitative Analysis', 'Product Management']"
1261,https://www.naukri.com/job-listings-Data-Analytics-Data-Scientist-MINFY-TECHNOLOGIES-PRIVATE-LIMITED-Hyderabad-4-to-9-years-140218006091?src=jobsearchDesk&sid=15208353191375&xp=12&px=1,"['Machine Learning', 'Artificial Intelligence', 'Python', 'Java', 'Algorithms', 'Hadoop', 'R', 'Data Analytics', 'Data Warehousing']"
1262,https://www.naukri.com/job-listings-Machine-Learning-Engineer-Data-Scientist-Idexcel-Technologies-Private-Limited-Bengaluru-Hyderabad-Pune-5-to-10-years-240118007879?src=jobsearchDesk&sid=15208353191375&xp=13&px=1,"['Machine Learning', 'Artificial Intelligence', 'NLP', 'MATLAB', 'Python', 'Java', 'machine learning', 'artificial intelligence', 'pattern recognition', 'clustering', 'ARIMA', 'Spark']"
1263,https://www.naukri.com/job-listings-Data-Scientist-Mobilution-IT-Systems-Private-Limited-Hyderabad-1-to-6-years-210218000623?src=jobsearchDesk&sid=15208353191375&xp=14&px=1,"['Natural Language Processing', 'NLP', 'Python', 'Machine Learning', 'text mining']"
1264,https://www.naukri.com/job-listings-Openings-for-Senior-Data-Scientist-hyderabad-rayadurgam-HR-Axis-India-Pvt-Ltd-Hyderabad-5-to-9-years-270218003969?src=jobsearchDesk&sid=15208353191375&xp=15&px=1,"['ROI', 'AWS', 'Azure', 'machine learning', 'econometrics', 'artificial intelligence', 'text mining', 'Hadoop', 'Python']"
1265,https://www.naukri.com/job-listings-Data-Scientist-eKincare-Startup-Hyderabad-3-to-8-years-290118900940?src=jobsearchDesk&sid=15208353191375&xp=16&px=1,"['Machine Learning', 'Python', 'Text Mining', 'Neural Networks', 'R', 'Algorithms', 'Statistics', 'Subject Matter Expertise', 'Statistical Software', 'Solution Design']"
1266,https://www.naukri.com/job-listings-Lead-Data-Scientist-10-15yrs-Kogentix-Technologies-Private-Limited-Bengaluru-Hyderabad-10-to-15-years-250118001821?src=jobsearchDesk&sid=15208353191375&xp=17&px=1,"['machine learning', 'hadoop', 'computer vision', 'matlab', 'spark', 'java', 'r', 'sql', 'python', 'statistics', 'sas', 'logistic regression', 'deep learning', 'regression', 'neural networks', 'algorithms', 'statistical modelling', 'big data', 'artificial intelligence', 'product development']"
1267,https://www.naukri.com/job-listings-Data-Scientist-Setuserv-Startup-Hyderabad-2-to-7-years-190118900197?src=jobsearchDesk&sid=15208353191375&xp=18&px=1,"['deep learning', 'machine learning', 'nlp', 'algorithms', 'open source', 'customer interfacing']"
1268,https://www.naukri.com/job-listings-Manager-Data-Scientist-CoreCompete-Pvt-Ltd-Hyderabad-Madhapur-Pune-4-to-9-years-050118006558?src=jobsearchDesk&sid=15208353191375&xp=19&px=1,"['sql', 'advanced analytics', 'machine learning', 'r', 'data mining', 'python', 'tableau', 'sas', 'algorithms', 'business intelligence']"
1269,https://www.naukri.com/job-listings-Data-Scientist-setuserv-Startup-Hyderabad-15-to-20-years-060218901798?src=jobsearchDesk&sid=15208353191375&xp=20&px=1,"['Deep Learning', 'NLP', 'Machine Learning', 'Artificial Intelligence', 'Python', 'Java', 'Web Crawling', 'Web Technologies', 'Open Source', 'Computer Science']"
1270,https://www.naukri.com/job-listings-Senior-Machine-Learning-Python-Developer-Data-Scientist-ALGOLEAP-TECHNOLOGIES-PRIVATE-LIMITED-Hyderabad-Madhapur-3-to-7-years-220218003993?src=jobsearchDesk&sid=15208353191375&xp=21&px=1,"['Machine Learning', 'Python', 'Artificial Intelligence', 'Data Science']"
1271,https://www.naukri.com/job-listings-DATA-Scientist-R-Programmer-Atria-BioSciences-Delhi-NCR-Mumbai-Bengaluru-Chennai-Hyderabad-Pune-Alappuzha-Noida-Trivandrum-0-to-2-years-190218002870?src=jobsearchDesk&sid=15208353191375&xp=22&px=1,"['clinical data', 'spss', 'Python', 'R', 'SAS', 'Tableau', 'Data Analytics', 'Big Data Analytics', 'Statistical Analysis', 'Statistical Modeling', 'Data Warehousing', 'SQL Database Administrator']"
1272,https://www.naukri.com/job-listings-Data-Scientist-Intelligence-Platform-R-python-Big-IT-Delhi-NCR-Mumbai-Bengaluru-Chennai-Hyderabad-Pune-Coimbatore-Kochi-Vijayawada-0-to-2-years-220218004839?src=jobsearchDesk&sid=15208353191375&xp=23&px=1,"['python', 'shell scripting', 'Data Analysis', 'Business Analysis', 'Business Intelligence']"
1273,https://www.naukri.com/job-listings-Director-Chief-Data-Scientist-NLP-KPO-Bengaluru-Hyderabad-10-to-15-years-200218900956?src=jobsearchDesk&sid=15208353191375&xp=24&px=1,"['Information Retrieval', 'Neural Networks', 'NLP', 'Data Mining', 'Machine Learning', 'Regression Analysis', 'Statistics', 'Image Processing']"
1274,https://www.naukri.com/job-listings-Data-Scientist-R-python-Retail-Domain-Bengaluru-Hyderabad-Pune-3-to-8-years-090218900453?src=jobsearchDesk&sid=15208353191375&xp=25&px=1,"['Data Science', 'R', 'Python', 'Data Cleansing', 'validation']"
1275,https://www.naukri.com/job-listings-Senior-Data-Scientist-Delhi-NCR-Bengaluru-Chennai-Hyderabad-3-to-8-years-220118900020?src=jobsearchDesk&sid=15208353191375&xp=26&px=1,"['Machine Learning', 'Neural Networks', 'Analytics', 'Predictive Modeling', 'Statistics', 'Computer Science', 'Quantitative Analysis']"
1276,https://www.naukri.com/job-listings-Senior-Data-Scientist-Han-Digital-Solution-P-Ltd-Bengaluru-Hyderabad-5-to-10-years-190118007565?src=jobsearchDesk&sid=15208353191375&xp=27&px=1,"['Machine Learning', 'R', 'Predictive Analytics', 'Python', 'Statistical Modeling', 'Big Data', 'Algorithms', 'Design Analysis', 'Data Modeling', 'Life Cycle']"
1277,https://www.naukri.com/job-listings-Data-Scientist-IT-Hyderabad-8-to-12-years-090218901676?src=jobsearchDesk&sid=15208353191375&xp=28&px=1,"['Predictive Modeling', 'Analytics', 'Correlation', 'Data Analysis', 'Statistics', 'Model Development', 'Solution Development', 'cleaning']"
1278,https://www.naukri.com/job-listings-data-Scientist-lead-RANDSTAD-INDIA-PVT-LTD-Hyderabad-5-to-10-years-010318900049?src=jobsearchDesk&sid=15208353191375&xp=29&px=1,"['SQL', 'Tableau', 'Power Bi', 'R', 'Web Technologies', 'Application Development', 'Business Operations', 'Business Understanding', 'Change Management', 'Soft Skills', 'Python', 'SAS']"
1279,https://www.naukri.com/job-listings-Data-Scientist-R-SAS-Finder-Hyderabad-8-to-13-years-270118002683?src=jobsearchDesk&sid=15208353191375&xp=30&px=1,"['SAS', 'R', 'Predictive Modeling', 'statistical modeling', 'statistical analysis', 'Python', 'Data Analytics', 'data mining']"
1280,https://www.naukri.com/job-listings-Data-Scientist-R-SAS-SDM-Role-Finder-Chennai-Hyderabad-6-to-11-years-050218003319?src=jobsearchDesk&sid=15208353191375&xp=31&px=1,"['SAS', 'R', 'Life Cycle', 'Predictive Modeling', 'statistical modeling', 'Python']"
1281,https://www.naukri.com/job-listings-Business-Rules-Specialist-Data-Analyst-DocNMe-Startup-Hyderabad-2-to-3-years-150218900489?src=jobsearchDesk&sid=15208353191375&xp=32&px=1,"['advanced excel', 'sql', 'data analysis', 'business intelligence', 'requirement gathering', 'business development', 'business rules', 'data analyst']"
1282,https://www.naukri.com/job-listings-Research-Scientist-Machine-Learning-Data-Mining-java-C-Python-Corporate-Resource-Consultants-Bengaluru-Chennai-Hyderabad-5-to-10-years-120517007757?src=jobsearchDesk&sid=15208353191375&xp=33&px=1,"['Python', 'Java', 'Machine Learning', 'C++', 'R', 'MATLAB', 'Data Mining', 'Algorithms']"
1283,https://www.naukri.com/job-listings-Sr-Scientist-nlp-Machine-Learning-Data-Mining-Corporate-Resource-Consultants-Bengaluru-Hyderabad-4-to-9-years-120517003960?src=jobsearchDesk&sid=15208353191375&xp=34&px=1,"['NLP', 'Machine Learning', 'Python', 'Java', 'C++', 'Data Mining', 'Data Analysis', 'Predictive Modeling']"
1284,https://www.naukri.com/job-listings-Business-Analyst-JPMorgan-Chase-Hyderabad-2-to-7-years-301117901944?src=jobsearchDesk&sid=15208353191375&xp=35&px=1,"['Financial services', 'Project management', 'System integration', 'Investment banking', 'Asset management', 'Data analysis', 'Risk management', 'Process automation', 'Application development', 'Commercial banking']"
1285,https://www.naukri.com/job-listings-Looking-for-Business-Analyst-in-Data-Centric-Project-Environment-State-Street-Corporate-Services-Mumbai-Pvt-Ltd-Hyderabad-5-to-8-years-220218003180?src=jobsearchDesk&sid=15208353191375&xp=36&px=1,"['Business Analysis', 'Fixed Income', 'Derivatives', 'Money Market']"
1286,https://www.naukri.com/job-listings-Business-and-Reporting-Analyst-Bmo-pmo-JPMorgan-Chase-Hyderabad-5-to-9-years-220218900359?src=jobsearchDesk&sid=15208353191375&xp=37&px=1,"['Service', 'Recruitment', 'Project management', 'Data analysis', 'MS Office', 'Auditing', 'Financial services', 'Macros', 'MS Access', 'Financial reporting']"
1287,https://www.naukri.com/job-listings-Business-Analyst-Senior-Business-Analyst-Guindy-Chennai-Creative-Hands-HR-Consultancy-Bengaluru-Chennai-Hyderabad-5-to-10-years-120318000376?src=jobsearchDesk&sid=15208353191375&xp=38&px=1,"['Business Analysis', 'Wireframing', 'Visio', 'MS Office', 'Process Mapping', 'Business Process', 'ERP Implementation', 'Proposal Development', 'Agile Development', 'Life Cycle', 'brd', 'data analysis', 'credit risk', 'Requirement Gathering', 'Senior Business Analyst']"
1288,https://www.naukri.com/job-listings-Data-Engineer-Setuserv-Startup-Hyderabad-4-to-9-years-190118900127?src=jobsearchDesk&sid=15208353191375&xp=39&px=1,"['Data Analysis', 'designing', 'jQuery', 'Python', 'noSQL', 'SQL', 'Django', 'Redis', 'Rabbitmq', 'D3.js', 'Linux', 'Unix', 'API', 'relational database', 'Git']"
