,Unnamed: 0,City,Job title,Company name,Location,Salary,Links,business skills
22,23,Toronto,Manager Business Transformation,City of Toronto,"Toronto, ON","$125,580 - $147,566 a year",http://www.indeed.ca/rc/clk?jk=50ff6c917d01b45d&fccid=f2087b51205d4920&vjs=3,compliance delivery budgeting relationship consulting ca client_relationship project_management customer_service portfolio_management strategic_planning service_delivery medical negotiation business_analysis client_relationship_management analytical hiring new_business relationship_management
23,24,Toronto,Office Manager / Administrator,The Other End Inc,"Toronto, ON","$38,000 - $48,000 a year",http://www.indeed.ca/company/The-Other-End-Inc/jobs/Office-Manager-370aebb1318f22a9?fccid=daf866b2e62a4759&vjs=3,marketing time_management distribution college ms_office management_skills events marketing_initiatives travel
24,25,Toronto,Office Manager,ConeTec,"Richmond Hill, ON","$35,000 - $45,000 a year",http://www.indeed.ca/company/ConeTec-Inc./jobs/Office-Manager-e502bb074ff38b0a?fccid=50d96764a0c324e5&vjs=3,communication_skills college ms_office events brokerage continuous_improvement operational_excellence regional_manager seminars excel proposals operations travel
25,26,Toronto,Office Manager,Evolution Public Relations Inc.,"Toronto, ON","$40,000 - $45,000 a year",http://www.indeed.ca/company/Evolution-Public-Relations/jobs/Office-Manager-a647c58eaeb40cba?fccid=8172e1c66c8f21e8&vjs=3,distribution communication_skills project_management management_skills events senior_management r travel
26,27,Toronto,Office Manager,Valitas Capital Partners,"Toronto, ON","$50,000 a year",http://www.indeed.ca/company/Valitas-Capital-Partners/jobs/Office-Manager-d1ac74ba8b39a454?fccid=d84ae91f2e51532c&vjs=3,strategy marketing social_media events kitchen excel equity operations travel
27,28,Toronto,Project Team Assistant (Construction),Region of Peel,"Greater Toronto Area, ON",no salary info,http://www.indeed.ca/rc/clk?jk=4c2e0f611aea837e&fccid=a3cae3fbb4535645&vjs=3,time_management financial_reporting project_management insurance strategic_planning construction region excel recruitment
28,29,Toronto,Finance Manager,Ritual,"Toronto, ON",no salary info,http://www.indeed.ca/rc/clk?jk=9ba24d6e84a26025&fccid=d70f4f0ef2567fb8&vjs=3,market budgeting relationship financial_reporting forecasting insurance financial_modeling startup finance accounting relationship_building excel finance_manager life_insurance sql equity
29,30,Toronto,Weekend Rental Agent/Office Manager,Preston Apartments,"Toronto, ON",no salary info,http://www.indeed.ca/company/Preston-Apartments/jobs/Weekend-Rental-Agent-Office-Manager-093be716c2b06d94?fccid=59c669b787d1e852&vjs=3,communication_skills dealing
30,31,Toronto,business manager subprime manager,exeland financial services,"Woodbridge, ON",no salary info,http://www.indeed.ca/company/exeland-financial-services/jobs/Business-Manager-Subprime-Manager-5d9bf208fe10cb6d?fccid=1c9327476a940b05&vjs=3,dealer delivery selling finance
31,32,Toronto,Account Manager,RiverPay Inc.,"Mississauga, ON","$60,000 - $70,000 a year",http://www.indeed.ca/company/RiverPay-Inc./jobs/Account-Manager-c84e56696ecb2156?fccid=e12ad88c2bc95760&vjs=3,sales account_manager hiring travel
32,33,Toronto,Finance Manager,Echappa,"Toronto, ON",no salary info,http://www.indeed.ca/rc/clk?jk=597497ca4c66843e&fccid=edb6785f591c09c5&vjs=3,budgeting communication_skills forecasting financial_modeling finance accounting excel financial_analysis
33,34,Toronto,Clinic Front Office Manager,Nguistyle Integrative Medicine Clinic,"Richmond Hill, ON","$34,000 - $40,000 a year",http://www.indeed.ca/company/Nguistyle-Integrative-Medicine-Clinic/jobs/Clinic-Front-Office-Manager-a3aa6714e0cf8f94?fccid=f5e212e074b6800e&vjs=3,client_satisfaction customer_service college excel
34,35,Toronto,Country Manager - Canada,Revolut Ltd,"Toronto, ON",no salary info,http://www.indeed.ca/rc/clk?jk=3fabafc05cca107e&fccid=354ed92d57681a23&vjs=3,strategy marketing marketing_strategy distribution banking selling finance region now business_development marketing_campaigns campaigns partnerships
